Категорія,Питання,Відповідь
Про анкету,Як додати в анкету рекомендаційний лист?,"Кандидат не може самостійно прикріпити рекомендаційний лист, тож має вказати пошту та ім’я людини, що писатиме рекомендацію у відповідному полі в анкеті. Після цього, ця людина отримає лист із запрошенням зареєструватись на порталі та заповнити інформацію про кандидата. Коли все буде готово, важливо натиснути “Submit”, аби в анкеті кандидата з’явилась інформація, що цю секцію заповнено.
Інструкції для заповнення будуть доступні як англійською, так і українською, і автор листа може написати листа українською, якщо не володіє англійською."
Про анкету,Чим відрізняється academic reference від non-academic reference?,"Non-academic reference може написати викладач гуртка або організації, частиною якою є кандидат, тренер, релігійний лідер, керівник МАН, ментор УАЛ, або будь-хто з позашкільного контексту, хто добре знає кандидата.
Academic reference має написати вчитель або класний керівник, який може більше розказати про твої академічні досягнення."
Про анкету,"Що робити, якщо я виїхав за кордон і не маю можливості отримати виписку з оцінками?","Ми очікуємо від кандидатів проактивності та самостійності, тож в першу чергу очікуємо, що кандидат зробить усе можливе аби отримати виписку: звернеться до школи, до класного керівника чи родича аби отримати виписку. У випадку, коли це не можливо, ми готові прийняти виписку за попердній семестр (осінній семестр 2021) або оцінки в закладі, де ви закінчили минулий рік. Просимо попередньо прокомунікувати це з нами через пошту admissions@ua.uwc.org"
Про анкету,"Як заповнити анкету, якщо я маю лише одного з батьків?",Відповісти “No” на питання “Do you have two (or more) legal parents/guardians?” Це має автоматично закрити секцію для другого з батьків.
Про стипендії та вартість навчання,Скільки коштує навчання в UWC?,"Два роки навчання коштують від 30 000 до 120 000 доларів США залежно від коледжу.
Проте ми в UWC віримо, що першокласна освіта має бути доступною для всіх студентів, незалежно від їхніх фінансових потреб. Ось чому завдяки допомозі наших щедрих донорів і партнерів практично всі українські студенти, які навчаються за програмою IB Diploma, отримують фінансову допомогу, яка покриває до 100% витрат. Ця допомога залежить від потреб родини і розподіляється на основі фінансової оцінки."
Про стипендії та вартість навчання,Чи впливає спроможність моєї родини оплатити навчання на мої шанси стати фіналістом?,"Ні! Учні отримують місця в школі чи коледжі UWC виключно залежно від того, наскільки вони відповідають критеріям відбору. Якщо вони пройшли відбір, батьки або опікуни повинні пройти фінансову оцінку, яка є повністю окремою від процесу відбору. Стипендії призначаються на основі фінансових потреб. Це допомагає гарантувати, що стипендії отримають студенти, які їх найбільше потребують."
Про стипендії та вартість навчання,Чим відрізняється повні та часткові стипендії?,"Повні — за потреби покривають усю вартість навчання в UWC, окрім додаткових витрат.
Часткові — можуть покрити певну частину вартості, наприклад 90%. Для решти потрібно знайти донора та/або покрити зусиллями родини."
Про стипендії та вартість навчання,Які додаткові витрати не покриває стипендія?,"Плата за навчання в школі/коледжі, як правило, не включає проїзд до відповідного місця, кишенькові гроші, проїзд під час канікул тощо. Також можуть бути додаткові збори у вигляді депозитів, а також для покриття візових процесів/щеплення.
Проте якщо родина не в змозі оплатити і ці витрати, ми допоможемо знайти додаткове джерело фінансування, аби студент мав шанс отримати якісну освіту."
Про стипендії та вартість навчання,Чи маєте ви особливі стипендії для біженців/дітей з особливими здібностями/переможцями олімпіад?,"Усі стипендії need-based. Це означає, що кошти надаються відповідно до фінансового стану родини. Ми не маємо окремих стипендій для певних груп."
"Про біженців та осіб, що проживають на тимчасово окупованих територіях","Що робити, якщо я є біженцем та проживаю поза межами України?","Ми запрошуємо біженців подати заявку через український національний комітет. Процес відбору відбуватиметься повністю онлайн, тож тимчасове проживання за кордоном не стане на заваді. В той же час, якщо аплікант має дозвіл на постійне проживання у іншій країні та підпадає під критерії відбору національного комітету тієї країни, він може подати заявку у країні проживання. Важливо пам'ятати, що апліканти можуть подати заявку лише через один національний комітет."
"Про біженців та осіб, що проживають на тимчасово окупованих територіях","Що робити, якщо я мешкаю на тимчасово окупованій території або був примусово депортований на територію іншої держави?","Усі громадяни України, незалежно від поточного місцезнаходження, можуть подати заявку через український національний комітет.
Апліканти мають підвердити громадянство паспортом громадянина України. Якщо отримати паспорт можливості немає, громадянство можна підтвердити свідоцтвом про народження на території України у кордонах 1991 року (на момент проголошення незалежності). Таким чином, апліканти мають можливість взяти участь у відборі навіть якщо їх примусили отримати паспорт держави-окупанта. "
